country,year,type,age,f,m,total
Afghanistan,1997,sp,014,5,0,5
Afghanistan,1997,sp,1524,38,10,48
Afghanistan,1997,sp,2534,36,6,42
Afghanistan,1997,sp,3544,14,3,17
Afghanistan,1997,sp,4554,8,5,13
Afghanistan,1997,sp,5564,0,2,2
Afghanistan,1997,sp,65,1,0,1
Afghanistan,1998,sp,014,45,30,75
Afghanistan,1998,sp,1524,350,129,479
Afghanistan,1998,sp,2534,419,128,547
Afghanistan,1998,sp,3544,194,90,284
Afghanistan,1998,sp,4554,118,89,207
Afghanistan,1998,sp,5564,61,64,125
Afghanistan,1998,sp,65,20,41,61
Afghanistan,1999,sp,014,25,8,33
Afghanistan,1999,sp,1524,139,55,194
Afghanistan,1999,sp,2534,160,55,215
Afghanistan,1999,sp,3544,110,47,157
Afghanistan,1999,sp,4554,50,34,84
Afghanistan,1999,sp,5564,25,21,46
Afghanistan,1999,sp,65,8,8,16
Afghanistan,2000,sp,014,93,52,145
Afghanistan,2000,sp,1524,414,228,642
Afghanistan,2000,sp,2534,565,183,748
Afghanistan,2000,sp,3544,339,149,488
Afghanistan,2000,sp,4554,205,129,334
Afghanistan,2000,sp,5564,99,94,193
Afghanistan,2000,sp,65,36,80,116
Afghanistan,2001,sp,014,146,129,275
Afghanistan,2001,sp,1524,799,379,1178
Afghanistan,2001,sp,2534,888,349,1237
Afghanistan,2001,sp,3544,586,274,860
Afghanistan,2001,sp,4554,375,204,579
Afghanistan,2001,sp,5564,179,139,318
Afghanistan,2001,sp,65,89,103,192
Afghanistan,2002,sp,014,192,90,282
Afghanistan,2002,sp,1524,1119,476,1595
Afghanistan,2002,sp,2534,1251,481,1732
Afghanistan,2002,sp,3544,792,368,1160
Afghanistan,2002,sp,4554,526,246,772
Afghanistan,2002,sp,5564,320,241,561
Afghanistan,2002,sp,65,218,189,407
Afghanistan,2003,sp,014,245,127,372
Afghanistan,2003,sp,1524,1152,511,1663
Afghanistan,2003,sp,2534,1287,436,1723
Afghanistan,2003,sp,3544,814,284,1098
Afghanistan,2003,sp,4554,462,256,718
Afghanistan,2003,sp,5564,305,288,593
Afghanistan,2003,sp,65,158,203,361
Afghanistan,2004,sp,014,256,139,395
Afghanistan,2004,sp,1524,1360,537,1897
Afghanistan,2004,sp,2534,1561,568,2129
Afghanistan,2004,sp,3544,1096,360,1456
Afghanistan,2004,sp,4554,645,358,1003
Afghanistan,2004,sp,5564,413,386,799
Afghanistan,2004,sp,65,256,310,566
Afghanistan,2005,sp,014,320,151,471
Afghanistan,2005,sp,1524,1651,606,2257
Afghanistan,2005,sp,2534,1959,560,2519
Afghanistan,2005,sp,3544,1302,472,1774
Afghanistan,2005,sp,4554,869,453,1322
Afghanistan,2005,sp,5564,471,470,941
Afghanistan,2005,sp,65,246,419,665
Afghanistan,2006,sp,014,442,193,635
Afghanistan,2006,sp,1524,2139,837,2976
Afghanistan,2006,sp,2534,2340,791,3131
Afghanistan,2006,sp,3544,1654,574,2228
Afghanistan,2006,sp,4554,1006,572,1578
Afghanistan,2006,sp,5564,630,572,1202
Afghanistan,2006,sp,65,309,410,719
Afghanistan,2007,ep,014,NA,0,NA
Afghanistan,2007,ep,1524,NA,0,NA
Afghanistan,2007,ep,2534,NA,0,NA
Afghanistan,2007,ep,3544,NA,0,NA
Afghanistan,2007,ep,4554,NA,0,NA
Afghanistan,2007,ep,5564,NA,0,NA
Afghanistan,2007,ep,65,NA,0,NA
Afghanistan,2007,sn,014,NA,0,NA
Afghanistan,2007,sn,1524,NA,0,NA
Afghanistan,2007,sn,2534,NA,0,NA
Afghanistan,2007,sn,3544,NA,0,NA
Afghanistan,2007,sn,4554,NA,0,NA
Afghanistan,2007,sn,5564,NA,0,NA
Afghanistan,2007,sn,65,NA,0,NA
Afghanistan,2007,sp,014,475,186,661
Afghanistan,2007,sp,1524,2224,856,3080
Afghanistan,2007,sp,2534,2357,840,3197
Afghanistan,2007,sp,3544,1708,597,2305
Afghanistan,2007,sp,4554,1143,566,1709
Afghanistan,2007,sp,5564,771,630,1401
Afghanistan,2007,sp,65,353,507,860
Afghanistan,2008,sp,014,428,187,615
Afghanistan,2008,sp,1524,2094,941,3035
Afghanistan,2008,sp,2534,2449,773,3222
Afghanistan,2008,sp,3544,1614,545,2159
Afghanistan,2008,sp,4554,1149,570,1719
Afghanistan,2008,sp,5564,817,630,1447
Afghanistan,2008,sp,65,364,575,939
Afghanistan,2009,sp,014,439,200,639
Afghanistan,2009,sp,1524,2173,906,3079
Afghanistan,2009,sp,2534,2186,705,2891
Afghanistan,2009,sp,3544,1541,499,2040
Afghanistan,2009,sp,4554,1014,491,1505
Afghanistan,2009,sp,5564,764,596,1360
Afghanistan,2009,sp,65,419,570,989
Afghanistan,2010,sp,014,445,197,642
Afghanistan,2010,sp,1524,2107,986,3093
Afghanistan,2010,sp,2534,2263,819,3082
Afghanistan,2010,sp,3544,1455,491,1946
Afghanistan,2010,sp,4554,1112,490,1602
Afghanistan,2010,sp,5564,831,641,1472
Afghanistan,2010,sp,65,488,622,1110
Afghanistan,2011,sn,014,851,902,1753
Afghanistan,2011,sp,014,465,204,669
Afghanistan,2011,sp,1524,2167,1010,3177
Afghanistan,2011,sp,2534,2325,895,3220
Afghanistan,2011,sp,3544,1564,613,2177
Afghanistan,2011,sp,4554,1146,570,1716
Afghanistan,2011,sp,5564,903,700,1603
Afghanistan,2011,sp,65,535,692,1227
Afghanistan,2012,sn,014,1190,1265,2455
