gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
SFB2,ER to Golgi transport,molecular function unknown,YNL049C,1082129,G,0.05,-0.24
,biological process unknown,molecular function unknown,YNL095C,1086222,G,0.05,0.28
QRI7,proteolysis and peptidolysis,metalloendopeptidase activity,YDL104C,1085955,G,0.05,-0.02
CFT2,mRNA polyadenylylation*,RNA binding,YLR115W,1081958,G,0.05,-0.33
SSO2,vesicle fusion*,t-SNARE activity,YMR183C,1081214,G,0.05,0.05
PSP2,biological process unknown,molecular function unknown,YML017W,1083036,G,0.05,-0.69
RIB2,riboflavin biosynthesis,pseudouridylate synthase activity*,YOL066C,1081766,G,0.05,-0.55
VMA13,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",YPR036W,1086860,G,0.05,-0.75
EDC3,deadenylylation-independent decapping,molecular function unknown,YEL015W,1082963,G,0.05,-0.24
VPS5,protein retention in Golgi*,protein transporter activity,YOR069W,1083389,G,0.05,-0.16
,biological process unknown,molecular function unknown,YOL029C,1085380,G,0.05,-0.22
AMN1,negative regulation of exit from mitosis*,protein binding,YBR158W,1086594,G,0.05,0.18
SCW11,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity",YGL028C,1083024,G,0.05,-0.67
DSE2,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity",YHR143W,1082870,G,0.05,-0.59
COX15,cytochrome c oxidase complex assembly*,"oxidoreductase activity, acting on NADH or NADPH, heme protein as acceptor",YER141W,1085995,G,0.05,-0.28
SPE1,pantothenate biosynthesis*,ornithine decarboxylase activity,YKL184W,1084207,G,0.05,-0.19
MTF1,transcription from mitochondrial promoter,S-adenosylmethionine-dependent methyltransferase activity*,YMR228W,1084832,G,0.05,-0.42
KSS1,invasive growth (sensu Saccharomyces)*,MAP kinase activity,YGR040W,1083046,G,0.05,-0.76
,biological process unknown,molecular function unknown,YHR036W,1084002,G,0.05,-0.91
,biological process unknown,molecular function unknown,YNL158W,1081987,G,0.05,-0.47
YAP7,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity,YOL028C,1084281,G,0.05,-0.51
,proteolysis and peptidolysis,metalloendopeptidase activity,YBR074W,1081132,G,0.05,-1.01
YVC1,cation homeostasis,calcium channel activity*,YOR087W,1082401,G,0.05,-0.4
CDC40,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism*",YDR364C,1085655,G,0.05,-0.19
,biological process unknown,molecular function unknown,YPL162C,1083440,G,0.05,-0.1
RMD1,biological process unknown,molecular function unknown,YDL001W,1083001,G,0.05,-0.22
PCL6,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity,YER059W,1086466,G,0.05,-0.25
AI4,RNA splicing*,endonuclease activity,Q0065,1083679,G,0.05,-0.36
GGC1,mitochondrial genome maintenance*,guanine nucleotide transporter activity,YDL198C,1083659,G,0.05,0.76
SUL1,sulfate transport,sulfate transporter activity,YBR294W,1084134,G,0.05,-0.32
RAD57,telomerase-independent telomere maintenance*,protein binding,YDR004W,1085676,G,0.05,-0.19
,,,YBR292C,1081781,G,0.05,-0.48
PER1,response to unfolded protein*,molecular function unknown,YCR044C,1083401,G,0.05,-0.21
YHC3,intracellular protein transport*,basic amino acid transporter activity,YJL059W,1086035,G,0.05,0.02
SGE1,response to drug*,xenobiotic-transporting ATPase activity,YPR198W,1084730,G,0.05,0.22
HNM1,choline transport,choline transporter activity,YGL077C,1082347,G,0.05,-0.67
SWI1,chromatin remodeling,general RNA polymerase II transcription factor activity,YPL016W,1082880,G,0.05,-0.23
NAM8,"nuclear mRNA splicing, via spliceosome*",RNA binding*,YHR086W,1082288,G,0.05,-0.24
,biological process unknown,molecular function unknown,YLR356W,1083800,G,0.05,0.61
BGL2,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity",YGR282C,1085206,G,0.05,-0.08
ACT1,cell wall organization and biogenesis*,structural constituent of cytoskeleton,YFL039C,1085614,G,0.05,-0.04
,biological process unknown,molecular function unknown,YKL100C,1085276,G,0.05,-0.19
SFL1,negative regulation of transcription from RNA polymerase II promoter,specific transcriptional repressor activity,YOR140W,1082363,G,0.05,-0.18
OYE3,biological process unknown,NADPH dehydrogenase activity,YPL171C,1084964,G,0.05,-0.9
,,,YLL030C,1086776,G,0.05,NA
,,,,1086866,G,0.05,-0.95
MMP1,S-methylmethionine transport,S-methylmethionine transporter activity,YLL061W,1081555,G,0.05,-0.58
MHT1,sulfur amino acid metabolism,homocysteine S-methyltransferase activity,YLL062C,1080643,G,0.05,-1.38
SUL2,sulfate transport,sulfate transporter activity,YLR092W,1081763,G,0.05,-1.14
IPP1,phosphate metabolism,inorganic diphosphatase activity,YBR011C,1083751,G,0.05,-0.55
CWP1,cell wall organization and biogenesis,structural constituent of cell wall,YKL096W,1086494,G,0.05,-0.91
SNF11,chromatin remodeling,general RNA polymerase II transcription factor activity,YDR073W,1082598,G,0.05,0.15
PEX25,peroxisome organization and biogenesis*,molecular function unknown,YPL112C,1085746,G,0.05,-0.2
ELO1,"fatty acid elongation, unsaturated fatty acid",fatty acid elongase activity,YJL196C,1081622,G,0.05,-0.37
,transport*,anion transporter activity*,YNL275W,1086151,G,0.05,0.14
CDC13,telomere maintenance*,single-stranded DNA binding,YDL220C,1080633,G,0.05,-0.79
FKH1,pseudohyphal growth*,transcription factor activity,YIL131C,1081044,G,0.05,-0.57
SWD1,chromatin silencing at telomere*,histone lysine N-methyltransferase activity (H3-K4 specific),YAR003W,1084268,G,0.05,-0.41
,biological process unknown,molecular function unknown,YLR437C,1080683,G,0.05,-0.19
HOF1,cytokinesis,cytoskeletal protein binding,YMR032W,1085056,G,0.05,-0.72
HOC1,cell wall mannoprotein biosynthesis*,"transferase activity, transferring glycosyl groups*",YJR075W,1081323,G,0.05,-0.42
BNI5,cytokinesis*,molecular function unknown,YNL166C,1083352,G,0.05,-0.4
CSN12,adaptation to pheromone during conjugation with cellular fusion,molecular function unknown,YJR084W,1081257,G,0.05,-0.49
PGS1,phospholipid biosynthesis,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,YCL004W,1081767,G,0.05,-0.19
MLP2,mRNA-nucleus export*,ribonucleoprotein binding,YIL149C,1081846,G,0.05,-0.37
HRP1,mRNA polyadenylylation*,RNA binding,YOL123W,1086678,G,0.05,-0.35
,biological process unknown,molecular function unknown,YPL009C,1083688,G,0.05,-0.08
SEC39,secretory pathway,molecular function unknown,YLR440C,1083462,G,0.05,-0.29
ECM31,pantothenate biosynthesis,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,YBR176W,1081705,G,0.05,-0.15
,biological process unknown,molecular function unknown,YMR158C-A,1082485,G,0.05,-0.67
,biological process unknown,molecular function unknown,YCL021W-A,1082388,G,0.05,-1.06
ADE4,'de novo' IMP biosynthesis*,amidophosphoribosyltransferase activity,YMR300C,1081095,G,0.05,-0.06
ABC1,ubiquinone biosynthesis,molecular function unknown,YGL119W,1086216,G,0.05,-0.05
DLD2,biological process unknown*,actin binding*,YDL178W,1082377,G,0.05,-0.1
PHA2,"phenylalanine biosynthesis, prephenate pathway",prephenate dehydratase activity,YNL316C,1084636,G,0.05,-0.01
,,,YLR236C,1082693,G,0.05,-0.42
HAP3,transcription*,transcriptional activator activity,YBL021C,1081618,G,0.05,-0.18
MRPL23,protein biosynthesis*,structural constituent of ribosome,YOR150W,1085913,G,0.05,-0.67
,biological process unknown,molecular function unknown,YAL046C,1086143,G,0.05,0.05
,biological process unknown,molecular function unknown,YNL122C,1081303,G,0.05,-0.58
MRPL16,protein biosynthesis,structural constituent of ribosome*,YBL038W,1086517,G,0.05,-0.12
,protein biosynthesis,structural constituent of ribosome,YPL183W-A,1081326,G,0.05,-0.61
,biological process unknown,molecular function unknown,YDL241W,1084790,G,0.05,-1.06
,,,YPR123C,1085240,G,0.05,0.43
,biological process unknown,molecular function unknown,YDR132C,1084653,G,0.05,0.01
AI3,biological process unknown,endonuclease activity,Q0060,1086421,G,0.05,-0.23
COX1,aerobic respiration*,cytochrome-c oxidase activity,Q0045,1086688,G,0.05,-0.59
,,,Q0182,1084037,G,0.05,-1.06
VAR1,protein biosynthesis*,structural constituent of ribosome,Q0140,1084236,G,0.05,-1.17
COX3,aerobic respiration*,cytochrome-c oxidase activity,Q0275,1084725,G,0.05,-0.81
COX2,aerobic respiration*,cytochrome-c oxidase activity,Q0250,1086746,G,0.05,-0.89
AI5_BETA,biological process unknown,molecular function unknown,Q0075,1080944,G,0.05,-0.77
AI2,RNA splicing,RNA binding*,Q0055,1086621,G,0.05,-0.92
,biological process unknown,molecular function unknown,YLR042C,1081627,G,0.05,0.01
,,,YLR255C,1081433,G,0.05,-0.56
GPI18,GPI anchor biosynthesis,mannosyltransferase activity,YBR004C,1085875,G,0.05,-0.37
COS9,biological process unknown,molecular function unknown,YKL219W,1083068,G,0.05,0.45
,biological process unknown,molecular function unknown,YLR407W,1085022,G,0.05,-0.25
,biological process unknown,molecular function unknown,YLL023C,1084172,G,0.05,0.01
PRP46,"nuclear mRNA splicing, via spliceosome",molecular function unknown,YPL151C,1086480,G,0.05,-0.03
XDJ1,biological process unknown,chaperone regulator activity,YLR090W,1083067,G,0.05,-0.1
SLG1,cell wall organization and biogenesis*,transmembrane receptor activity,YOR008C,1086095,G,0.05,-0.06
MAM3,mitochondrion organization and biogenesis*,molecular function unknown,YOL060C,1083362,G,0.05,0.14
AEP1,protein biosynthesis,molecular function unknown,YMR064W,1084016,G,0.05,-0.31
UGO1,transport*,transporter activity,YDR470C,1083964,G,0.05,-0.17
,biological process unknown,molecular function unknown,YDL156W,1080988,G,0.05,-0.32
RSC2,chromatin remodeling*,molecular function unknown,YLR357W,1084405,G,0.05,-0.47
YAP1801,endocytosis,clathrin binding,YHR161C,1082031,G,0.05,-0.05
ZPR1,regulation of progression through cell cycle,protein binding,YGR211W,1082106,G,0.05,0
BCD1,snoRNA metabolism,nucleic acid binding,YHR040W,1082023,G,0.05,0
UBP10,chromatin silencing at telomere*,ubiquitin-specific protease activity,YNL186W,1086287,G,0.05,0.07
SLD3,DNA replication initiation*,chromatin binding,YGL113W,1085134,G,0.05,-0.31
RLF2,nucleosome assembly,transcription regulator activity,YPR018W,1083148,G,0.05,-0.69
LRO1,triacylglycerol biosynthesis*,phospholipid:diacylglycerol acyltransferase activity,YNR008W,1080725,G,0.05,-0.36
,biological process unknown,molecular function unknown,YDR348C,1086546,G,0.05,-0.74
ITR2,myo-inositol transport,myo-inositol transporter activity,YOL103W,1083373,G,0.05,-0.8
ABP140,actin cytoskeleton organization and biogenesis,S-adenosylmethionine-dependent methyltransferase activity*,YOR239W,1082497,G,0.05,-0.51
STT3,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,YGL022W,1083863,G,0.05,-0.64
PTC2,G1/S transition of mitotic cell cycle*,protein phosphatase type 2C activity,YER089C,1084958,G,0.05,-1.04
STE20,protein amino acid phosphorylation*,protein serine/threonine kinase activity,YHL007C,1085525,G,0.05,-0.45
HRD3,ER-associated protein catabolism,ubiquitin-protein ligase activity,YLR207W,1086152,G,0.05,-0.16
CWH43,cell wall organization and biogenesis*,molecular function unknown,YCR017C,1085535,G,0.05,-0.53
ASK10,response to oxidative stress*,transcription regulator activity,YGR097W,1085129,G,0.05,-0.44
MPE1,mRNA polyadenylylation*,RNA binding,YKL059C,1081645,G,0.05,-0.23
SWC3,chromatin remodeling*,molecular function unknown,YAL011W,1080854,G,0.05,-0.18
TSA1,response to oxidative stress*,thioredoxin peroxidase activity,YML028W,1081945,G,0.05,-0.65
ADE17,'de novo' IMP biosynthesis*,IMP cyclohydrolase activity*,YMR120C,1085311,G,0.05,-0.88
GFD2,biological process unknown,molecular function unknown,YCL036W,1084149,G,0.05,-1.25
PXR1,35S primary transcript processing*,RNA binding,YGR280C,1083739,G,0.05,-0.48
,karyogamy,molecular function unknown,YNL313C,1086596,G,0.05,-0.24
BUD14,cellular morphogenesis during vegetative growth,molecular function unknown,YAR014C,1084525,G,0.05,-0.12
AUS1,sterol transport,"ATPase activity, coupled to transmembrane movement of substances",YOR011W,1083163,G,0.05,0.04
NHX1,vacuolar acidification*,monovalent inorganic cation transporter activity,YDR456W,1086567,G,0.05,-0.82
NTE1,phosphatidylcholine metabolism,hydrolase activity*,YML059C,1080888,G,0.05,-0.32
,biological process unknown,molecular function unknown,YBR197C,1081409,G,0.05,-0.35
KIN3,chromosome segregation,protein kinase activity,YAR018C,1081561,G,0.05,-0.83
BUD4,bud site selection*,GTP binding,YJR092W,1085477,G,0.05,-0.73
SLI15,protein amino acid phosphorylation*,protein kinase activator activity,YBR156C,1083452,G,0.05,-0.64
PMT4,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,YJR143C,1084411,G,0.05,-1.14
AVT5,transport,transporter activity,YBL089W,1081384,G,0.05,-0.45
CHS2,cytokinesis,chitin synthase activity,YBR038W,1080650,G,0.05,-0.47
GPI13,GPI anchor biosynthesis,"transferase activity, transferring phosphorus-containing groups",YLL031C,1081664,G,0.05,-0.7
KAP95,protein-nucleus import,protein carrier activity,YLR347C,1085842,G,0.05,-0.4
EFT2,translational elongation,translation elongation factor activity,YDR385W,1083597,G,0.05,-0.35
EFT1,translational elongation,translation elongation factor activity,YOR133W,1086227,G,0.05,-0.59
GAS1,cell wall organization and biogenesis*,"1,3-beta-glucanosyltransferase activity",YMR307W,1081375,G,0.05,-0.58
CYK3,cytokinesis,molecular function unknown,YDL117W,1084129,G,0.05,-0.48
